design,arm,period_scale,clock_period,time_unit,sequence,setup_margin,wns,tns,hold_wns,inst_count,buffer_count,inverter_count,committed_moves,inert,design_area,elapsed_s
asap7_aes,base,1.0,380.00000520417046,ps,stock,0,-4.779621162412185,-34.49937571638659,36.48982519625144,12708,2247,192,0,1,1.437660879233249e-09,501
asap7_aes,completed,1.0,380.00000520417046,ps,stock,0,-4.779621162412185,-34.49937571638659,36.48982519625144,12708,2247,192,0,1,1.437660879233249e-09,532
asap7_aes,pr,1.0,380.00000520417046,ps,stock,0,-4.779621162412185,-34.49937571638659,36.48982519625144,12708,2247,192,0,1,1.437660879233249e-09,523
asap7_aes,base,1.0,380.00000520417046,ps,stock_again,0,-4.779621162412185,-34.49937571638659,36.48982519625144,12708,2247,192,0,1,1.437660879233249e-09,502
asap7_aes,completed,1.0,380.00000520417046,ps,stock_again,0,-4.779621162412185,-34.49937571638659,36.48982519625144,12708,2247,192,0,1,1.437660879233249e-09,532
asap7_aes,pr,1.0,380.00000520417046,ps,stock_again,0,-4.779621162412185,-34.49937571638659,36.48982519625144,12708,2247,192,0,1,1.437660879233249e-09,524
asap7_aes,completed,1.0,380.00000520417046,ps,with_move,0,-5.351691333711792,-56.29893795891568,36.48982519625144,12700,2233,198,3,0,1.4362174782789339e-09,702
asap7_aes,pr,1.0,380.00000520417046,ps,with_move,0,-5.351691333711792,-56.29893795891568,36.48982519625144,12700,2233,198,3,0,1.4362174782789339e-09,695
sky130hd_aes,base,1.0,3.5999999555910778,ns,stock,0,-0.1868625307379131,-3.316999657718232,0.48493216370594233,18383,4234,88,0,1,1.2734963661387155e-07,1316
sky130hd_aes,completed,1.0,3.5999999555910778,ns,stock,0,-0.1868625307379131,-3.316999657718232,0.48493216370594233,18383,4234,88,0,1,1.2734963661387155e-07,1401
sky130hd_aes,pr,1.0,3.5999999555910778,ns,stock,0,-0.1868625307379131,-3.316999657718232,0.48493216370594233,18383,4234,88,0,1,1.2734963661387155e-07,1455
sky130hd_aes,base,1.0,3.5999999555910778,ns,stock_again,0,-0.1868625307379131,-3.316999657718232,0.48493216370594233,18383,4234,88,0,1,1.2734963661387155e-07,1317
sky130hd_aes,completed,1.0,3.5999999555910778,ns,stock_again,0,-0.1868625307379131,-3.316999657718232,0.48493216370594233,18383,4234,88,0,1,1.2734963661387155e-07,1398
sky130hd_aes,pr,1.0,3.5999999555910778,ns,stock_again,0,-0.1868625307379131,-3.316999657718232,0.48493216370594233,18383,4234,88,0,1,1.2734963661387155e-07,1457
sky130hd_aes,completed,1.0,3.5999999555910778,ns,with_move,0,-0.12701173805530444,-2.3623241809135114,0.48493216370594233,18406,4211,136,24,0,1.276699492791522e-07,1505
sky130hd_aes,pr,1.0,3.5999999555910778,ns,with_move,0,-0.1868625307379131,-3.316999657718232,0.48493216370594233,18383,4234,88,0,1,1.2734963661387155e-07,1459
