platform,design,arm,arm_witnessed,seed,clk_period,gp_hpwl_final,gp_iterations,gp_segments,diverge_revert,ip_iterations,ip_residual,ip_converged,ip_hit_cap,ip_hpwl_first,ip_hpwl_last,src_odb_3_1,src_core_3_1,src_odb_3_3,src_core_3_3,min_period_wns,setup_ws,setup_tns,hold_ws,wirelength,grt_usage_pct,grt_overflow,grt_max_layer_usage_pct,grt_congested,drc,place_area,place_instances,gp_wall_s,serial,cores,loadavg_at_start,status,place_gp_sha1,skip_io_sha1,grt_sha1
asap7,aes,anchored,anchored,1,380.0,39438.15,381,4,False,5,3.19e-06,True,False,43214009,20396827,,,,,389.33109,-9.33109,-152.297,37.1573,688611,23.48,0,36.01,False,0,1399.05,12532,9.56,False,4,20.29248046875,0,d03f75e63a7a36095b04,58b625cc36bc7d6872cc,4f339cccf67ff48bd668
asap7,aes,anchored,anchored,2,380.0,40375.3,382,4,False,5,4.1e-06,True,False,43091393,20362744,,,,,393.6527,-13.6527,-160.502,37.1984,699863,23.84,0,36.69,False,0,1405.19,12622,9.65,False,4,19.38818359375,0,617dfa859c3f93f8f170,ef81d7026354dbba9b8d,556b6ea60c06027cff69
asap7,aes,anchored,anchored,3,380.0,40650.41,382,4,False,5,3.37e-06,True,False,43081869,20423354,,,,,395.795,-15.795,-278.507,36.8231,704189,24.09,0,36.43,False,0,1407.29,12644,12.1,False,4,19.623046875,0,f9448357bc80f43474e9,1a6c6124751598a89f32,d314f187e191444c835f
asap7,aes,anchored,anchored,4,380.0,39108.56,378,4,False,5,7.2e-07,True,False,43110391,20552725,,,,,393.1199,-13.1199,-219.618,35.806,684678,23.26,0,36.18,False,0,1407.32,12639,9.81,False,4,20.6298828125,0,e6fcf51c5d23a31b34dd,ddc34ba129d400a8a3d0,5aae16b1b8510ddbe155
asap7,aes,anchored,anchored,5,380.0,40019.4,381,4,False,5,2.9e-06,True,False,43037377,20495467,,,,,394.6314,-14.6314,-194.696,37.7019,695006,23.64,0,35.17,False,0,1406.3,12628,9.86,False,4,20.6298828125,0,af59f734c437b53ab1b5,5968f8b95a043699abd0,f15c0128ffc9d4f3c067
asap7,aes,anchored,anchored,6,380.0,40164.99,380,4,False,5,1.43e-06,True,False,43000052,20677159,,,,,390.8258,-10.8258,-74.5296,37.2925,693963,23.69,0,37.61,False,0,1403.69,12605,9.85,False,4,20.4189453125,0,c0ebbed1547c36db3310,292824eb355a81946efc,4d4ab2ff5168285434a6
asap7,aes,anchored,anchored,7,380.0,40472.2,383,4,False,5,1.03e-06,True,False,42968113,20602682,,,,,387.75294,-7.75294,-72.0637,36.9738,696842,23.85,0,38.11,False,0,1406.71,12618,9.48,False,4,19.0439453125,0,9b090d32a27a23446437,686015f949922040ab0d,1f29b83d8fd3eccfb8cc
asap7,aes,anchored,anchored,8,380.0,40055.55,380,4,False,5,1.81e-06,True,False,43080481,20687343,,,,,395.1814,-15.1814,-248.789,37.1316,694824,23.71,0,36.01,False,0,1419.6,12762,9.61,False,4,18.6396484375,0,5e14896be3296efe2136,9bb124e303c6ba6dbe8e,bef23143d009e0b1899e
asap7,aes,odb,odb,1,380.0,39385.13,366,4,False,5,1.37e-06,True,False,42785389,20681020,,,,,387.07509,-7.07509,-45.2668,37.3892,684461,23.39,0,36.76,False,0,1394.17,12492,9.62,False,4,19.37548828125,0,3073423760d1a1a568ea,eb1c7da44d1c908cec05,5aaaf723612f427a54a1
asap7,aes,odb,odb,2,380.0,39254.77,369,4,False,5,3.67e-06,True,False,42802712,20732417,,,,,398.1629,-18.1629,-361.713,37.0556,685094,23.23,0,35.3,False,0,1393.54,12495,9.78,False,4,19.37548828125,0,dcd712953657ee19b2ac,0705e1834b2f1579947a,bf9417dad4b5cc46e8d5
asap7,aes,odb,odb,3,380.0,38920.64,368,4,False,5,1.39e-06,True,False,42880984,20778616,,,,,391.8233,-11.8233,-134.045,37.5533,679303,23.1,0,35.74,False,0,1389.04,12452,9.35,False,4,19.37548828125,0,95efdd6ad8472edeaa19,ee5b6cd2843ef43ead07,ff02c0a6fbe5ff425a46
asap7,aes,odb,odb,4,380.0,38963.91,367,4,False,5,2.19e-06,True,False,42839486,20712330,,,,,391.4098,-11.4098,-165.625,36.2917,685824,23.26,0,35.01,False,0,1391.43,12454,9.69,False,4,18.78466796875,0,d9a18626c42a1905ffec,2d5276b25dc6f53a6e99,51d9e13b90aac6e3c80b
asap7,aes,odb,odb,5,380.0,39359.08,367,4,False,5,3.34e-06,True,False,42798099,20783567,,,,,391.23199999999997,-11.232,-107.671,36.9263,683110,23.32,0,36.91,False,0,1395.98,12506,10.55,False,4,21.40625,0,df605a28f9d99c35cbf0,aca4565f80af8677e3ff,79d9d67ad669430414cd
asap7,aes,odb,odb,6,380.0,39022.23,368,4,False,5,7.76e-06,True,False,42888242,20631632,,,,,389.5097,-9.5097,-109.203,36.9939,679536,23.09,0,36.63,False,0,1405.57,12607,10.39,False,4,21.37353515625,0,123e54637c431d4da2ac,0ff6cf62ad301a87121a,742b21744af901bb5df9
asap7,aes,odb,odb,7,380.0,39192.6,370,4,False,5,1.04e-06,True,False,42672115,20671879,,,,,393.8394,-13.8394,-137.562,35.4843,685761,23.35,0,36.14,False,0,1397.35,12543,10.08,False,4,21.10302734375,0,0ced39a4cc2c57f9e1ef,f597cc7165b300d2e23b,711a7f2a10fabd6238e2
asap7,aes,odb,odb,8,380.0,39509.66,369,4,False,5,3.96e-06,True,False,42946307,20692776,,,,,391.0604,-11.0604,-197.943,36.1864,689637,23.43,0,38.44,False,0,1392.83,12488,9.78,False,4,21.0146484375,0,06d4a7345341ebe4b5af,cf7846ff94f689cc148f,118b2a8eedd58b27f1d6
asap7,aes,shipped,shipped,1,380.0,39372.46,386,4,False,5,5.45e-06,True,False,42785389,20531625,1059,10027,0,10414,384.77962,-4.77962,-34.4994,36.4898,686337,23.38,0,37.5,False,0,1394.26,12493,10.02,False,4,11.029296875,0,79cff97d14b966d4c78c,eb1c7da44d1c908cec05,de5b7477dac8c0b96048
asap7,aes,shipped,shipped,2,380.0,39251.25,387,4,False,5,1.92e-06,True,False,42802712,20545180,1059,10027,0,10414,395.4764,-15.4764,-412.318,37.0242,685727,23.23,0,35.46,False,0,1404.27,12591,9.75,False,4,11.029296875,0,6ba55e2091790d50a74a,0705e1834b2f1579947a,bd8581c37baa4797432d
asap7,aes,shipped,shipped,3,380.0,39243.02,388,4,False,5,5.79e-06,True,False,42880984,20533968,1059,10027,0,10414,398.6252,-18.6252,-293.388,37.1379,681731,23.19,0,35.75,False,0,1393.53,12488,9.96,False,4,11.029296875,0,5ed82cf4bb61fe195091,ee5b6cd2843ef43ead07,cdd3ac6a097166fc2ca0
asap7,aes,shipped,shipped,4,380.0,39235.42,387,4,False,5,5.66e-06,True,False,42839486,20479677,1059,10027,0,10414,392.2469,-12.2469,-179.273,36.6965,685715,23.3,0,35.96,False,0,1400.15,12553,10.14,False,4,11.029296875,0,7e29dfbe0b3cf6718f64,2d5276b25dc6f53a6e99,9c32f232c4e463d32c77
asap7,aes,shipped,shipped,5,380.0,39030.67,386,4,False,5,2.2e-06,True,False,42798099,20603649,1059,10027,0,10414,395.6634,-15.6634,-147.827,37.1115,681805,23.25,0,36.14,False,0,1394.46,12504,10.17,False,4,11.029296875,0,2f0f0ae793f3eed87b57,aca4565f80af8677e3ff,36cae5008acdf44c0710
asap7,aes,shipped,shipped,6,380.0,38512.79,386,4,False,5,2.39e-06,True,False,42888242,20371140,1059,10027,0,10414,387.5728,-7.5728,-75.6201,36.3722,677741,23.05,0,37.33,False,0,1400.23,12552,10.17,False,4,11.029296875,0,e597c6ead5f8d711268a,0ff6cf62ad301a87121a,7632458ac39c7956aa44
asap7,aes,shipped,shipped,7,380.0,39128.81,386,4,False,5,4.75e-06,True,False,42672115,20486255,1059,10027,0,10414,388.80321,-8.80321,-130.009,36.2695,687471,23.39,0,36.69,False,0,1397.17,12531,10.15,False,4,19.19775390625,0,3aeecb1846e149c03d41,f597cc7165b300d2e23b,0425eb7fe83c3d3b1373
asap7,aes,shipped,shipped,8,380.0,39063.19,387,4,False,5,1.81e-06,True,False,42946307,20498882,1059,10027,0,10414,392.1586,-12.1586,-114.494,36.3744,682797,23.29,0,37.63,False,0,1380.49,12343,9.55,False,4,19.58251953125,0,a76e504b071be8e01a62,cf7846ff94f689cc148f,d746579da3c34f41a90c
asap7,aes,spread,spread,1,380.0,39857.89,376,4,False,5,4.4e-06,True,False,42810864,20762110,,,,,392.1408,-12.1408,-148.992,36.4531,693097,23.73,0,35.83,False,0,1395.47,12501,11.98,False,4,19.50927734375,0,503a82b239368b86f6a1,1fe84e7a46613681b480,3f070aefa3890d1345f1
asap7,aes,spread,spread,2,380.0,40873.3,375,4,False,5,2.14e-06,True,False,43027398,20775913,,,,,400.153,-20.153,-271.653,37.4458,708378,24.25,0,36.21,False,0,1412.19,12676,9.92,False,4,19.537109375,0,ec848b0b27f7131d67e7,04eaa43269862906ca97,c1c149dd462c69d81de7
