platform,design,events_eligible,events_moved,responsiveness,solo_moves,solo_per_year,years_in_fleet,instances
nangate45,swerv_wrapper,105,39,0.37142857142857144,7,1.6254197545239675,4.306579872994144,92246.95652173914
tsmc65lp,bp_fe_top,26,9,0.34615384615384615,2,1.5346883824080697,1.3031961556011864,27837.391304347828
tsmc65lp,bp_multi_top,28,9,0.32142857142857145,1,0.6157901179282879,1.623929924962608,86337.39130434784
intel22,gcd,29,9,0.3103448275862069,0,0.0,1.6810020724009431,329.5652173913044
intel22,aes,26,8,0.3076923076923077,0,0.0,1.3031961556011864,16540.869565217392
rapidus2hp,hercules_idecode,39,12,0.3076923076923077,1,1.4056215061123796,0.7114290693842371,184812.1739130435
tsmc65lp,coyote,26,8,0.3076923076923077,0,0.0,1.3031961556011864,329529.56521739135
asap7,aes-block,79,24,0.3037974683544304,7,2.3360511362963408,2.9965097472558115,8838.260869565218
gf180,aes-hybrid,78,23,0.2948717948717949,2,0.7449105884700646,2.684885986260045,18006.08695652174
asap7,riscv32i-mock-sram,72,21,0.2916666666666667,0,0.0,2.266356503663143,10077.391304347826
nangate45,bp_multi_top,104,30,0.28846153846153844,4,0.933580074395069,4.284581590488504,86473.91304347827
intel22,ibex,28,8,0.2857142857142857,2,1.248417848273652,1.6020277207392197,15652.17391304348
sky130hd,gcd,105,30,0.2857142857142857,4,0.9294767443196139,4.3034965903617515,478.26086956521743
sky130hs,aes,103,29,0.2815533980582524,3,0.7083027800911051,4.235476810657338,16886.956521739132
sky130hs,jpeg,105,29,0.2761904761904762,1,0.2311545593628298,4.326109780211423,48648.69565217392
asap7,sha3,26,7,0.2692307692307692,1,0.7673441912040349,1.3031961556011864,16988.695652173916
tsmc65lp,swerv_wrapper,26,7,0.2692307692307692,0,0.0,1.3031961556011864,88573.91304347827
gf180,ibex,83,22,0.26506024096385544,2,0.599724596011722,3.334864058103278,13305.217391304348
gf180,aes,91,24,0.26373626373626374,2,0.5379972215683327,3.717491317463939,19293.04347826087
asap7,riscv32i,85,22,0.25882352941176473,7,1.9941357190734794,3.5102926711790503,10148.695652173914
tsmc65lp,aes,31,8,0.25806451612903225,1,0.4788343230147007,2.0884050117879687,14535.652173913044
gf180,riscv32i,82,21,0.25609756097560976,0,0.0,3.2345086445103557,7502.608695652175
nangate45,aes,103,26,0.2524271844660194,0,0.0,4.235476810657338,14585.21739130435
