platform,design,commit,unix_time,metric,old,new,type
ihp-sg13g2,aes,505e9838bc034406835b2235e54c2afca3f0987b,1789002539,placeopt__design__instance__area,162505,209010,Failing
ihp-sg13g2,aes,505e9838bc034406835b2235e54c2afca3f0987b,1789002539,placeopt__design__instance__count__stdcell,14531,19633,Failing
ihp-sg13g2,aes,505e9838bc034406835b2235e54c2afca3f0987b,1789002539,cts__timing__setup__ws,-0.225,-0.603,Failing
ihp-sg13g2,aes,505e9838bc034406835b2235e54c2afca3f0987b,1789002539,cts__timing__setup__tns,-0.9,-56.3,Failing
ihp-sg13g2,aes,505e9838bc034406835b2235e54c2afca3f0987b,1789002539,cts__timing__hold__ws,-0.225,-0.1,Tighten
ihp-sg13g2,aes,505e9838bc034406835b2235e54c2afca3f0987b,1789002539,cts__timing__hold__tns,-0.9,-0.4,Tighten
ihp-sg13g2,aes,505e9838bc034406835b2235e54c2afca3f0987b,1789002539,globalroute__timing__setup__ws,-0.225,-0.819,Failing
ihp-sg13g2,aes,505e9838bc034406835b2235e54c2afca3f0987b,1789002539,globalroute__timing__setup__tns,-0.9,-93.7,Failing
ihp-sg13g2,aes,505e9838bc034406835b2235e54c2afca3f0987b,1789002539,globalroute__timing__hold__ws,-0.225,-0.1,Tighten
ihp-sg13g2,aes,505e9838bc034406835b2235e54c2afca3f0987b,1789002539,globalroute__timing__hold__tns,-0.9,-0.4,Tighten
ihp-sg13g2,aes,505e9838bc034406835b2235e54c2afca3f0987b,1789002539,finish__timing__setup__ws,-0.225,-0.775,Failing
ihp-sg13g2,aes,505e9838bc034406835b2235e54c2afca3f0987b,1789002539,finish__timing__setup__tns,-0.9,-70.5,Failing
ihp-sg13g2,aes,505e9838bc034406835b2235e54c2afca3f0987b,1789002539,finish__timing__hold__ws,-0.225,-0.1,Tighten
ihp-sg13g2,aes,505e9838bc034406835b2235e54c2afca3f0987b,1789002539,finish__timing__hold__tns,-0.9,-0.4,Tighten
ihp-sg13g2,aes,505e9838bc034406835b2235e54c2afca3f0987b,1789002539,finish__design__instance__area,167958,238519,Failing
sky130hs,ibex,942449aed939562b78c314675ac5c9ccf42be81d,1788529120,cts__timing__setup__tns,-3.2,-57.7,Failing
sky130hs,ibex,942449aed939562b78c314675ac5c9ccf42be81d,1788529120,cts__timing__hold__ws,-0.35,-0.325,Tighten
sky130hs,ibex,942449aed939562b78c314675ac5c9ccf42be81d,1788529120,cts__timing__hold__tns,-1.4,-1.3,Tighten
sky130hs,ibex,942449aed939562b78c314675ac5c9ccf42be81d,1788529120,globalroute__timing__setup__tns,-338.0,-604.0,Failing
sky130hs,ibex,942449aed939562b78c314675ac5c9ccf42be81d,1788529120,globalroute__timing__hold__ws,-0.35,-0.325,Tighten
sky130hs,ibex,942449aed939562b78c314675ac5c9ccf42be81d,1788529120,globalroute__timing__hold__tns,-1.4,-1.3,Tighten
sky130hs,ibex,942449aed939562b78c314675ac5c9ccf42be81d,1788529120,detailedroute__route__wirelength,824415,783228,Tighten
sky130hs,ibex,942449aed939562b78c314675ac5c9ccf42be81d,1788529120,finish__timing__setup__ws,-0.35,-0.861,Failing
sky130hs,ibex,942449aed939562b78c314675ac5c9ccf42be81d,1788529120,finish__timing__setup__tns,-62.1,-291.0,Failing
sky130hs,ibex,942449aed939562b78c314675ac5c9ccf42be81d,1788529120,finish__timing__hold__ws,-0.35,-0.325,Tighten
sky130hs,ibex,942449aed939562b78c314675ac5c9ccf42be81d,1788529120,finish__timing__hold__tns,-1.4,-1.3,Tighten
gf12,aes,808f024a75db480bbb11bb5d58fe6014440fa600,1788469122,cts__timing__hold__ws,-21.0,-18.0,Tighten
gf12,aes,808f024a75db480bbb11bb5d58fe6014440fa600,1788469122,cts__timing__hold__tns,-84.0,-72.0,Tighten
