platform,design,metric,commit,unix_time,prev_unix_time,before,after,rel_change,kind,retargeted
asap7,aes,detailedroute__route__wirelength,11d682b3422f774154f6ad89f403687afdc1809f,1662478866,1659117194,112711,100945,-0.104391,tighten,1
asap7,aes,detailedroute__route__wirelength,f50270aaac2990b084b60db7761a35581c188644,1693498950,1692226288,100945,109618,0.0859183,failing,0
asap7,aes,detailedroute__route__wirelength,3d05440525390fe651bd9ad60df2267f2cb6ad23,1702463869,1699922798,109618,72213,-0.341232,tighten,0
asap7,aes,detailedroute__route__wirelength,53873f6b5a049a999386861e7a9ee80aa61080c5,1727499238,1726801420,72213,75438.3,0.0446625,failing,0
asap7,aes,detailedroute__route__wirelength,edc8f1a28361462e9e9f66adf4a520d95a882a81,1738100296,1727499238,75438.3,75327.8,-0.00146391,tighten,1
asap7,aes,detailedroute__route__wirelength,42c12e80a33d8c34badeff76e9aeeaea0b4e2651,1749917054,1742507021,75327.8,65032.2,-0.136678,tighten,1
asap7,aes,detailedroute__route__wirelength,9753d33a6e24b5daad668aca9cde8918f2af9ebd,1756701107,1752003067,65032.2,63802.6,-0.018907,tighten,1
asap7,aes,detailedroute__route__wirelength,38fcb42969a3f3e0756986eeacf00447d7957fe7,1760370009,1760193246,63802.6,63077.4,-0.0113666,tighten,0
asap7,aes,detailedroute__route__wirelength,e476f58f5155006a0f2c0851e65872a1443cb4f6,1772835964,1772209135,63077.4,59148.7,-0.0622837,tighten,1
asap7,aes,detailedroute__route__wirelength,1ad9ee5203118586cab4535015c5184473e53783,1774531618,1772835964,59148.7,57605.2,-0.0260949,tighten,0
asap7,aes,detailedroute__route__wirelength,442c25202ace17ce42288d502eef557a4ce7f1e5,1779202706,1774759716,57605.2,52739.1,-0.084473,tighten,1
asap7,aes,detailedroute__route__wirelength,d39a7b21e8f23d0220f03ee6e4f727156f236853,1780178044,1779202706,52739.1,52727.8,-0.000214345,tighten,0
asap7,aes,detailedroute__route__wirelength,a89f995a56a40be9b48b39daad94210b36a88d0a,1781720239,1781393401,52727.8,50400.9,-0.0441315,tighten,1
asap7,aes,detailedroute__route__wirelength,19c2b08c4caa7d5fae6fecd81415e808f7a92b83,1784579405,1784194417,50400.9,50228.7,-0.00341609,tighten,0
asap7,aes,finish__design__instance__area,3e85fcd8465d967e20d228c1494b8824e699e5a6,1652820402,1652373207,9564.35,3100,-0.67588,tighten,0
asap7,aes,finish__design__instance__area,11d682b3422f774154f6ad89f403687afdc1809f,1662478866,1659117194,3100,2639.13,-0.148668,tighten,1
asap7,aes,finish__design__instance__area,f50270aaac2990b084b60db7761a35581c188644,1693498950,1692226288,2639.13,2858.26,0.0830313,failing,0
asap7,aes,finish__design__instance__area,3d05440525390fe651bd9ad60df2267f2cb6ad23,1702463869,1699922798,2858.26,1956.52,-0.315485,tighten,0
asap7,aes,finish__design__instance__area,53873f6b5a049a999386861e7a9ee80aa61080c5,1727499238,1726801420,1956.52,2046.96,0.0462222,failing,0
asap7,aes,finish__design__instance__area,edc8f1a28361462e9e9f66adf4a520d95a882a81,1738100296,1727499238,2046.96,2043.48,-0.00169924,tighten,1
asap7,aes,finish__design__instance__area,42c12e80a33d8c34badeff76e9aeeaea0b4e2651,1749917054,1742507021,2043.48,1980.87,-0.0306383,tighten,1
asap7,aes,finish__design__instance__area,b2d224758b1fae76777c5fc5a3493c6bd769404c,1763659797,1763395270,1980.87,1975.65,-0.00263389,tighten,0
asap7,aes,finish__design__instance__area,75c067510af04cf949bb76087ff07757fd050f84,1764088621,1763659797,1975.65,1973.04,-0.00132042,tighten,0
asap7,aes,finish__design__instance__area,e476f58f5155006a0f2c0851e65872a1443cb4f6,1772835964,1772209135,1973.04,1868.7,-0.0528867,tighten,1
asap7,aes,finish__design__instance__area,1ad9ee5203118586cab4535015c5184473e53783,1774531618,1772835964,1868.7,1833.04,-0.0190786,tighten,0
asap7,aes,finish__design__instance__area,442c25202ace17ce42288d502eef557a4ce7f1e5,1779202706,1774759716,1833.04,1638.26,-0.106262,tighten,1
asap7,aes,finish__design__instance__area,a89f995a56a40be9b48b39daad94210b36a88d0a,1781720239,1781393401,1638.26,1446.96,-0.116773,tighten,1
asap7,aes,finish__design__instance__area,19c2b08c4caa7d5fae6fecd81415e808f7a92b83,1784579405,1784194417,1446.96,1446.09,-0.000600962,tighten,0
asap7,aes,placeopt__design__instance__area,3e85fcd8465d967e20d228c1494b8824e699e5a6,1652820402,1652373207,2925.22,2924.35,-0.000297265,tighten,0
asap7,aes,placeopt__design__instance__area,373b724c682c33cdb2681bb95008e334cb2cff23,1658154812,1652820402,2924.35,2922.61,-0.000594707,tighten,0
asap7,aes,placeopt__design__instance__area,11d682b3422f774154f6ad89f403687afdc1809f,1662478866,1659117194,2922.61,2503.48,-0.14341,tighten,1
asap7,aes,placeopt__design__instance__area,0317619cb67f1c77437a0aad479e4902f7cffa1b,1664989164,1662650846,2503.48,2501.74,-0.000694686,tighten,0
asap7,aes,placeopt__design__instance__area,09b386b7086f1a10e11f6e26cebac15e53095626,1665635960,1664989164,2501.74,2500,-0.000695169,tighten,0
asap7,aes,placeopt__design__instance__area,b34f40c79b06af45896fd11f9719657b9f926ca6,1674582080,1672313005,2500,2499.13,-0.000347826,tighten,0
asap7,aes,placeopt__design__instance__area,09c3011a9e97e4a94ce3eb3b0aec303b428f5a7d,1679505623,1674582080,2499.13,2496.52,-0.00104384,tighten,0
asap7,aes,placeopt__design__instance__area,f50270aaac2990b084b60db7761a35581c188644,1693498950,1692226288,2496.52,2494.78,-0.000696621,tighten,0
asap7,aes,placeopt__design__instance__area,3d05440525390fe651bd9ad60df2267f2cb6ad23,1702463869,1699922798,2494.78,1799.13,-0.278843,tighten,0
asap7,aes,placeopt__design__instance__area,53873f6b5a049a999386861e7a9ee80aa61080c5,1727499238,1726801420,1799.13,1976.52,0.0985984,failing,0
asap7,aes,placeopt__design__instance__area,42c12e80a33d8c34badeff76e9aeeaea0b4e2651,1749917054,1742507021,1976.52,1925.22,-0.0259569,tighten,1
asap7,aes,placeopt__design__instance__area,9753d33a6e24b5daad668aca9cde8918f2af9ebd,1756701107,1752003067,1925.22,1893.04,-0.0167118,tighten,1
asap7,aes,placeopt__design__instance__area,b2d224758b1fae76777c5fc5a3493c6bd769404c,1763659797,1763395270,1893.04,1880,-0.00689022,tighten,0
