design,stage,substep,arm,repeat,call,setup_s,hold_s,passes,last_improving_iter,wns_start_ps,wns_end_ps,endpoints,substep_wall_s,result_sha1,loadavg_at_start,recorded_at
aes,cts,4_1_cts,base,1,setup_hold,1.75,0.01,50,50,-9.24,0.004,26,12.47,388d27212cfe76a19f9c,0.96,2026-09-10T21:27:28
aes,floorplan,2_1_floorplan,base,1,floorplan_setup,14.42,,1077,1057,-59.315,-45.023,150,17.68,6a612011b922a089739e,0.82,2026-09-10T21:27:15
aes,full,2_1_floorplan,base-p00670068,1,floorplan_setup,12.33,,1077,1057,-59.315,-45.023,150,15.58,6a612011b922a089739e,0.99,2026-09-12T19:53:28
aes,full,4_1_cts,base-p00670068,1,setup_hold,1.51,0.01,50,50,-9.24,0.004,26,12.15,388d27212cfe76a19f9c,0.99,2026-09-12T19:53:28
aes,full,5_1_grt,base-p00670068,1,setup_hold,28.04,0.05,596,569,-13.943,-4.195,111,52.11,de5b7477dac8c0b96048,0.99,2026-09-12T19:53:28
aes,full,5_1_grt,base-p00670068,1,post_grt_wns,0.44,,1,0,-4.78,-4.78,24,52.11,de5b7477dac8c0b96048,0.99,2026-09-12T19:53:28
aes,full,2_1_floorplan,base-p0069,1,floorplan_setup,12.36,,1077,1057,-59.315,-45.023,150,15.63,6a612011b922a089739e,0.91,2026-09-13T02:33:59
aes,full,4_1_cts,base-p0069,1,setup_hold,1.5,0.01,50,50,-9.24,0.004,26,12.13,388d27212cfe76a19f9c,0.91,2026-09-13T02:33:59
aes,full,5_1_grt,base-p0069,1,setup_hold,27.24,0.05,596,569,-13.943,-4.195,111,50.92,de5b7477dac8c0b96048,0.91,2026-09-13T02:33:59
aes,full,5_1_grt,base-p0069,1,post_grt_wns,0.44,,1,0,-4.78,-4.78,24,50.92,de5b7477dac8c0b96048,0.91,2026-09-13T02:33:59
aes,full,2_1_floorplan,base-p0074,1,floorplan_setup,12.37,,1077,1057,-59.315,-45.023,150,15.61,6a612011b922a089739e,0.97,2026-09-12T23:15:32
aes,full,4_1_cts,base-p0074,1,setup_hold,1.48,0.01,50,50,-9.24,0.004,26,12.15,388d27212cfe76a19f9c,0.97,2026-09-12T23:15:32
aes,full,5_1_grt,base-p0074,1,setup_hold,28.04,0.05,596,569,-13.943,-4.195,111,51.9,de5b7477dac8c0b96048,0.97,2026-09-12T23:15:32
aes,full,5_1_grt,base-p0074,1,post_grt_wns,0.45,,1,0,-4.78,-4.78,24,51.9,de5b7477dac8c0b96048,0.97,2026-09-12T23:15:32
aes,full,2_1_floorplan,base-p0077,1,floorplan_setup,12.79,,1081,1040,-59.315,-45.023,150,16.01,e9f580fa1e661e811705,0.95,2026-09-13T18:47:43
aes,full,4_1_cts,base-p0077,1,setup_hold,5.58,0.01,245,238,-31.412,-3.298,61,16.37,e1021f8c8b0400add670,0.95,2026-09-13T18:47:43
aes,full,5_1_grt,base-p0077,1,setup_hold,31.41,0.05,848,797,-15.576,-11.897,105,56.1,e99d81b9bd106c40baf3,0.95,2026-09-13T18:47:43
aes,full,5_1_grt,base-p0077,1,post_grt_wns,0.46,,1,0,-11.566,-11.566,62,56.1,e99d81b9bd106c40baf3,0.95,2026-09-13T18:47:43
aes,grt,5_1_grt,base,1,setup_hold,29.73,0.05,596,569,-13.943,-4.195,111,53.53,de5b7477dac8c0b96048,0.97,2026-09-10T21:28:23
aes,grt,5_1_grt,base,1,post_grt_wns,0.47,,1,0,-4.78,-4.78,24,53.53,de5b7477dac8c0b96048,0.97,2026-09-10T21:28:23
aes-mbff,cts,4_1_cts,base,1,setup_hold,1.3,0.01,39,39,-9.009,0.371,18,11.61,7b694d536d2d1022c45e,0.91,2026-09-10T21:34:00
aes-mbff,floorplan,2_1_floorplan,base,1,floorplan_setup,0.11,,0,,,,,2.83,c422fbb68d101a10151a,0.82,2026-09-10T21:33:47
aes-mbff,full,2_1_floorplan,base-p00670068,1,floorplan_setup,0.11,,0,,,,,2.85,c422fbb68d101a10151a,0.79,2026-09-12T20:05:23
aes-mbff,full,4_1_cts,base-p00670068,1,setup_hold,1.23,0.01,39,39,-9.009,0.371,18,11.7,7b694d536d2d1022c45e,0.79,2026-09-12T20:05:23
aes-mbff,full,5_1_grt,base-p00670068,1,setup_hold,10.12,0.06,267,238,-17.947,-1.2,106,34.04,f10f16d2f8ed4cb5ee89,0.79,2026-09-12T20:05:23
