design,stage,substep,arm,repeat,call,setup_s,hold_s,passes,last_improving_iter,wns_start_ps,wns_end_ps,endpoints,substep_wall_s,result_sha1,loadavg_at_start,recorded_at
aes,cts,4_1_cts,base,1,setup_hold,1.75,0.01,50,50,-9.24,0.004,26,12.47,388d27212cfe76a19f9c,0.96,2026-09-10T21:27:28
aes,floorplan,2_1_floorplan,base,1,floorplan_setup,14.42,,1077,1057,-59.315,-45.023,150,17.68,6a612011b922a089739e,0.82,2026-09-10T21:27:15
aes,grt,5_1_grt,base,1,setup_hold,29.73,0.05,596,569,-13.943,-4.195,111,53.53,de5b7477dac8c0b96048,0.97,2026-09-10T21:28:23
aes,grt,5_1_grt,base,1,post_grt_wns,0.47,,1,0,-4.78,-4.78,24,53.53,de5b7477dac8c0b96048,0.97,2026-09-10T21:28:23
aes-mbff,cts,4_1_cts,base,1,setup_hold,1.3,0.01,39,39,-9.009,0.371,18,11.61,7b694d536d2d1022c45e,0.91,2026-09-10T21:34:00
aes-mbff,floorplan,2_1_floorplan,base,1,floorplan_setup,0.11,,0,,,,,2.83,c422fbb68d101a10151a,0.82,2026-09-10T21:33:47
aes-mbff,grt,5_1_grt,base,1,setup_hold,11.53,0.06,267,238,-17.947,-1.2,106,35.68,f10f16d2f8ed4cb5ee89,0.93,2026-09-10T21:34:37
aes-mbff,grt,5_1_grt,base,1,post_grt_wns,0.47,,1,0,-2.004,-2.004,5,35.68,f10f16d2f8ed4cb5ee89,0.93,2026-09-10T21:34:37
aes_lvt,cts,4_1_cts,base,1,setup_hold,0.42,0.08,0,,,,,10.75,94255454a0e4207922be,0.93,2026-09-10T21:31:16
aes_lvt,floorplan,2_1_floorplan,base,1,floorplan_setup,0.09,,0,,,,,3.44,05fbccf4fa7def676509,0.91,2026-09-10T21:31:04
aes_lvt,grt,5_1_grt,base,1,setup_hold,0.32,0.1,0,,,,,20.43,6f020f356230f2a89325,0.94,2026-09-10T21:31:38
aes_lvt,grt,5_1_grt,base,1,post_grt_wns,0.29,,0,,,,,20.43,6f020f356230f2a89325,0.94,2026-09-10T21:31:38
coralnpu,cts,4_1_cts,base,1,setup_hold,385.37,0.56,1500,1280,-2142.929,-2053.337,16853,530.85,2be3f5b16ac161318a1c,0.98,2026-09-10T23:10:08
coralnpu,cts,4_1_cts,base-p006700680069,1,setup_hold,328.94,0.54,1500,1280,-2142.929,-2053.337,16853,472.4,2be3f5b16ac161318a1c,0.87,2026-09-12T02:44:45
coralnpu,cts,4_1_cts,base-prof,1,setup_hold,384.93,0.55,1500,1280,-2142.929,-2053.337,16853,531.49,2be3f5b16ac161318a1c,0.94,2026-09-11T01:19:28
coralnpu,floorplan,2_1_floorplan,base,1,floorplan_setup,225.27,,1200,23,-13804.944,-2383.044,16853,275.63,07ad1ef643b6055207ce,0.80,2026-09-10T23:00:15
coralnpu,floorplan,2_1_floorplan,base-p006700680069,1,floorplan_setup,48.04,,400,23,-13804.944,-2383.044,16853,99.53,07ad1ef643b6055207ce,0.86,2026-09-12T02:23:02
coralnpu,floorplan,2_1_floorplan,base-prof,1,floorplan_setup,221.33,,1200,23,-13804.944,-2383.044,16853,271.77,07ad1ef643b6055207ce,0.97,2026-09-11T00:54:46
coralnpu,grt,5_1_grt,base,1,setup_hold,674.13,1.27,1400,734,-2113.249,-2099.549,16853,1238.01,d7dc7d7019cd109a1d30,0.94,2026-09-10T23:32:32
coralnpu,grt,5_1_grt,base,1,post_grt_wns,8.44,,1,0,-2102.223,-2102.223,16853,1238.01,d7dc7d7019cd109a1d30,0.94,2026-09-10T23:32:32
coralnpu,grt,5_1_grt,base-p006700680069,1,setup_hold,617.74,1.26,1400,734,-2113.249,-2099.549,16853,1183.43,d7dc7d7019cd109a1d30,0.90,2026-09-12T03:15:09
coralnpu,grt,5_1_grt,base-p006700680069,1,post_grt_wns,8.16,,1,0,-2102.223,-2102.223,16853,1183.43,d7dc7d7019cd109a1d30,0.90,2026-09-12T03:15:09
coralnpu,grt,5_1_grt,base-prof,1,setup_hold,688.86,1.27,1400,734,-2113.249,-2099.549,16853,1263.15,d7dc7d7019cd109a1d30,0.92,2026-09-11T01:54:10
coralnpu,grt,5_1_grt,base-prof,1,post_grt_wns,8.45,,1,0,-2102.223,-2102.223,16853,1263.15,d7dc7d7019cd109a1d30,0.92,2026-09-11T01:54:10
