OpenROAD 26Q1-1929-g7cf7b720fd 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 16 thread(s).
source external/bazel-orfs++orfs_repositories+docker_orfs/OpenROAD-flow-scripts/flow/platforms/asap7/liberty_suppressions.tcl
read_liberty external/bazel-orfs++orfs_repositories+docker_orfs/OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_AO_RVT_FF_nldm_211120.lib.gz
read_liberty external/bazel-orfs++orfs_repositories+docker_orfs/OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_INVBUF_RVT_FF_nldm_220122.lib.gz
read_liberty external/bazel-orfs++orfs_repositories+docker_orfs/OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_OA_RVT_FF_nldm_211120.lib.gz
read_liberty external/bazel-orfs++orfs_repositories+docker_orfs/OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_SIMPLE_RVT_FF_nldm_211120.lib.gz
read_liberty external/bazel-orfs++orfs_repositories+docker_orfs/OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_SEQ_RVT_FF_nldm_220123.lib
read_db -hier bazel-out/k8-fastbuild/bin/gemmini/results/asap7/MeshWithDelays/base/3_3_place_gp.odb
[WARNING ORD-0012] Hierarchical flow (-hier) is currently in development and may cause multiple issues. Do not use in production environments.
source external/bazel-orfs++orfs_repositories+docker_orfs/OpenROAD-flow-scripts/flow/platforms/asap7/setRC.tcl
estimate_parasitics -placement
Took 38 seconds: estimate_parasitics -placement
Perform buffer insertion and gate resizing...
repair_design -verbose
Iteration |   Area    | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------------------
        0 |     +0.0% |       0 |       0 |             0 |    927785
     1000 |     +0.0% |       0 |       0 |             0 |    926785
     2000 |     +0.0% |       0 |       0 |             0 |    925785
     3000 |     +0.0% |       0 |       0 |             0 |    924785
     4000 |     +0.0% |       0 |       0 |             0 |    923785
     5000 |     +0.0% |       0 |       0 |             0 |    922785
     6000 |     +0.0% |       0 |       0 |             0 |    921785
     7000 |     +0.0% |       0 |       0 |             0 |    920785
     8000 |     +0.0% |       0 |       0 |             0 |    919785
     9000 |     +0.0% |       0 |       0 |             0 |    918785
    10000 |     +0.0% |       0 |       0 |             0 |    917785
    11000 |     +0.0% |       0 |       0 |             0 |    916785
    12000 |     +0.0% |       0 |       0 |             0 |    915785
    13000 |     +0.0% |       0 |       0 |             0 |    914785
    14000 |     +0.0% |       0 |       0 |             0 |    913785
    15000 |     +0.0% |       0 |       0 |             0 |    912785
    16000 |     +0.0% |       0 |       0 |             0 |    911785
    17000 |     +0.0% |       0 |       0 |             0 |    910785
    18000 |     +0.0% |       0 |       0 |             0 |    909785
    19000 |     +0.0% |       0 |       0 |             0 |    908785
    20000 |     +0.0% |       0 |       0 |             0 |    907785
    21000 |     +0.0% |       0 |       0 |             0 |    906785
    22000 |     +0.0% |       0 |       0 |             0 |    905785
    23000 |     +0.0% |       0 |       0 |             0 |    904785
    24000 |     +0.0% |       0 |       0 |             0 |    903785
    25000 |     +0.0% |       0 |       0 |             0 |    902785
    26000 |     +0.0% |       0 |       0 |             0 |    901785
    27000 |     +0.0% |       0 |       0 |             0 |    900785
    28000 |     +0.0% |       0 |       0 |             0 |    899785
    29000 |     +0.0% |       0 |       0 |             0 |    898785
    30000 |     +0.0% |       0 |       0 |             0 |    897785
    31000 |     +0.0% |       0 |       0 |             0 |    896785
