OpenROAD 26Q1-1929-g7cf7b720fd 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 16 thread(s).
source external/bazel-orfs++orfs_repositories+docker_orfs/OpenROAD-flow-scripts/flow/platforms/asap7/liberty_suppressions.tcl
read_liberty external/bazel-orfs++orfs_repositories+docker_orfs/OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_AO_RVT_FF_nldm_211120.lib.gz
read_liberty external/bazel-orfs++orfs_repositories+docker_orfs/OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_INVBUF_RVT_FF_nldm_220122.lib.gz
read_liberty external/bazel-orfs++orfs_repositories+docker_orfs/OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_OA_RVT_FF_nldm_211120.lib.gz
read_liberty external/bazel-orfs++orfs_repositories+docker_orfs/OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_SIMPLE_RVT_FF_nldm_211120.lib.gz
read_liberty external/bazel-orfs++orfs_repositories+docker_orfs/OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_SEQ_RVT_FF_nldm_220123.lib
read_db -hier bazel-out/k8-fastbuild/bin/vlsiffra/results/asap7/multiplier/base/1_synth.odb
[WARNING ORD-0012] Hierarchical flow (-hier) is currently in development and may cause multiple issues. Do not use in production environments.
source external/bazel-orfs++orfs_repositories+docker_orfs/OpenROAD-flow-scripts/flow/platforms/asap7/setRC.tcl

==========================================================================
Floorplan check_setup
--------------------------------------------------------------------------
Warning: There are 65 input ports missing set_input_delay.
Warning: There are 64 output ports missing set_output_delay.
Warning: There are 592 unconstrained endpoints.
number instances in verilog is 5183
[INFO IFP-0107] Defining die area using utilization: 40.00% and aspect ratio: 1.
[WARNING IFP-0028] Core area lower left (1.000, 1.000) snapped to (1.026, 1.080).
[INFO IFP-0001] Added 150 rows of 755 site asap7sc7p5t.
[INFO IFP-0100] Die BBox:  (  0.000  0.000 ) ( 42.831 42.831 ) um
[INFO IFP-0101] Core BBox: (  1.026  1.080 ) ( 41.796 41.580 ) um
[INFO IFP-0102] Core area:                         1651.185 um^2
[INFO IFP-0103] Total instances area:               666.889 um^2
[INFO IFP-0104] Effective utilization:                0.404
[INFO IFP-0105] Number of instances:                   5183
source external/bazel-orfs++orfs_repositories+docker_orfs/OpenROAD-flow-scripts/flow/platforms/asap7/openRoad/make_tracks.tcl
source external/bazel-orfs++orfs_repositories+docker_orfs/OpenROAD-flow-scripts/flow/platforms/asap7/fastroute.tcl
Repair tie lo fanout...
[INFO RSZ-0042] Inserted 75 tie TIELOx1_ASAP7_75t_R instances.
Repair tie hi fanout...
[INFO RSZ-0042] Inserted 14 tie TIEHIx1_ASAP7_75t_R instances.
repair_timing -setup_margin 0 -hold_margin 0 -repair_tns 100 -skip_last_gasp -setup -skip_last_gasp -sequence unbuffer,sizeup,swap,vt_swap -verbose
[WARNING EST-0027] no estimated parasitics. Using wire load models.
[INFO RSZ-0100] Repair move sequence: UnbufferMove SizeUpMove SwapPinsMove 
[INFO RSZ-0094] Found 560 endpoints with setup violations.
[INFO RSZ-0099] Repairing 560 out of 560 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |   Area   |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |          |            | Endpts | Endpt
--------------------------------------------------------------------------------------------------------------
        0 |       0 |       0 |        0 |      0 |     0 |    +0.0% |  -31.928 |   -17762.5 |    560 | pp_row0_0$_DFF_P_/D
       10 |       0 |       9 |        0 |      0 |     0 |    -0.0% |  -31.928 |   -16552.7 |    560 | pp_row18_9$_DFF_P_/D
       20 |       0 |      17 |        0 |      0 |     2 |    -0.0% |  -28.190 |   -15021.3 |    560 | pp_row10_3$_DFF_P_/D
       30 |       0 |      17 |        0 |      0 |    12 |    -0.0% |  -28.190 |   -14517.0 |    560 | pp_row27_13$_DFF_P_/D
       40 |       0 |      24 |        0 |      0 |    15 |    -0.0% |  -28.745 |   -14418.9 |    560 | pp_row17_1$_DFF_P_/D
       50 |       0 |      34 |        0 |      0 |    15 |    -0.0% |  -31.788 |   -14495.7 |    560 | pp_row27_1$_DFF_P_/D
       60 |       0 |      44 |        0 |      0 |    15 |    +0.0% |  -34.832 |   -14573.6 |    560 | pp_row5_1$_DFF_P_/D
       70 |       0 |      49 |        0 |      0 |    20 |    +0.0% |  -33.643 |   -14598.1 |    560 | pp_row15_1$_DFF_P_/D
       80 |       0 |      49 |        0 |      0 |    30 |    +0.0% |  -32.874 |   -14568.1 |    560 | pp_row25_1$_DFF_P_/D
       83 |       0 |      17 |        0 |      0 |    15 |    -0.0% |  -26.614 |   -14365.7 |    560 | pp_row10_1$_DFF_P_/D
       90 |       0 |      20 |        0 |      0 |    18 |    -0.0% |  -26.614 |   -14303.6 |    560 | pp_row10_1$_DFF_P_/D
       91 |       0 |      21 |        0 |      0 |    18 |    -0.0% |  -26.614 |   -14298.0 |    560 | pp_row10_1$_DFF_P_/D
       99 |       0 |      27 |        0 |      0 |    19 |    -0.0% |  -26.614 |   -14265.6 |    560 | pp_row10_2$_DFF_P_/D
      100 |       0 |      27 |        0 |      0 |    19 |    -0.0% |  -26.614 |   -14265.6 |    560 | pp_row10_2$_DFF_P_/D
      108 |       0 |      33 |        0 |      0 |    21 |    +0.0% |  -26.614 |   -14229.2 |    560 | pp_row10_3$_DFF_P_/D
      110 |       0 |      34 |        0 |      0 |    21 |    +0.0% |  -26.919 |   -14236.8 |    560 | pp_row11_3$_DFF_P_/D
      117 |       0 |      39 |        0 |      0 |    23 |    +0.0% |  -26.614 |   -14192.8 |    560 | pp_row10_4$_DFF_P_/D
      120 |       0 |      40 |        0 |      0 |    24 |    +0.0% |  -26.843 |   -14198.5 |    560 | pp_row11_4$_DFF_P_/D
      126 |       0 |      45 |        0 |      0 |    25 |    +0.0% |  -26.614 |   -14156.4 |    560 | pp_row11_5$_DFF_P_/D
      130 |       0 |      46 |        0 |      0 |    27 |    +0.0% |  -26.919 |   -14160.7 |    560 | pp_row11_5$_DFF_P_/D
      131 |       0 |      45 |        0 |      0 |    25 |    +0.0% |  -26.614 |   -14156.4 |    560 | pp_row11_5$_DFF_P_/D
      135 |       0 |      46 |        0 |      0 |    25 |    +0.0% |  -26.614 |   -14162.6 |    560 | pp_row11_5$_DFF_P_/D
      138 |       0 |      47 |        0 |      0 |    25 |    +0.0% |  -26.614 |   -14168.7 |    560 | pp_row11_5$_DFF_P_/D
      140 |       0 |      48 |        0 |      0 |    25 |    +0.0% |  -26.614 |   -14176.3 |    560 | pp_row11_5$_DFF_P_/D
      142 |       0 |      48 |        0 |      0 |    25 |    +0.0% |  -26.614 |   -14176.3 |    560 | pp_row11_5$_DFF_P_/D
      146 |       0 |      49 |        0 |      0 |    25 |    +0.0% |  -26.614 |   -14183.8 |    560 | pp_row11_5$_DFF_P_/D
      150 |       0 |      50 |        0 |      0 |    27 |    +0.0% |  -26.614 |   -14189.8 |    560 | pp_row11_5$_DFF_P_/D
      150 |       0 |      50 |        0 |      0 |    25 |    +0.0% |  -26.614 |   -14191.4 |    560 | pp_row11_5$_DFF_P_/D
      159 |       0 |      56 |        0 |      0 |    27 |    +0.1% |  -26.614 |   -14155.0 |    560 | pp_row13_6$_DFF_P_/D
      160 |       0 |      56 |        0 |      0 |    27 |    +0.1% |  -26.614 |   -14155.0 |    560 | pp_row13_6$_DFF_P_/D
