table,policy,slots,allocated,sizeof,page_size,raw_bytes,codec,level,block,aos_bytes,soa_bytes,gain,homogeneous_blocks,blocks
sbox,classes,6656,6633,52,128,265320,zstd,3,128,26503,6994,3.7894,52,52
sbox,classes,6656,6633,52,128,265320,zstd,3,256,26503,5579,4.7505,26,26
sbox,classes,6656,6633,52,128,265320,zstd,3,512,26503,4793,5.5295,13,13
sbox,classes,6656,6633,52,128,265320,zstd,3,1024,26503,4272,6.2039,7,7
sbox,classes,6656,6633,52,128,265320,zstd,3,2048,26503,4073,6.507,4,4
sbox,classes,6656,6633,52,128,265320,zstd,3,4096,26503,3737,7.0921,2,2
sbox,classes,6656,6633,52,128,265320,zstd,3,8192,26503,3624,7.3132,1,1
sbox,classes,6656,6633,52,128,265320,zstd,3,16384,26503,3624,7.3132,1,1
sbox,classes,6656,6633,52,128,265320,gzip,6,128,54220,7234,7.4952,52,52
sbox,classes,6656,6633,52,128,265320,gzip,6,16384,54220,4566,11.8747,1,1
box,classes,25600,24646,48,1024,887256,zstd,3,128,204881,146969,1.394,193,193
box,classes,25600,24646,48,1024,887256,zstd,3,256,204881,144376,1.4191,97,97
box,classes,25600,24646,48,1024,887256,zstd,3,512,204881,143189,1.4308,49,49
box,classes,25600,24646,48,1024,887256,zstd,3,1024,204881,142092,1.4419,25,25
box,classes,25600,24646,48,1024,887256,zstd,3,2048,204881,141678,1.4461,13,13
box,classes,25600,24646,48,1024,887256,zstd,3,4096,204881,141433,1.4486,7,7
box,classes,25600,24646,48,1024,887256,zstd,3,8192,204881,136381,1.5023,4,4
box,classes,25600,24646,48,1024,887256,zstd,3,16384,204881,135116,1.5163,2,2
box,classes,25600,24646,48,1024,887256,gzip,6,128,224969,146410,1.5366,193,193
box,classes,25600,24646,48,1024,887256,gzip,6,16384,224969,138222,1.6276,2,2
iterm,classes,89088,89026,88,1024,4072424,zstd,3,128,616148,406145,1.5171,598,696
iterm,classes,89088,89026,88,1024,4072424,zstd,3,256,616148,386844,1.5928,297,348
iterm,classes,89088,89026,88,1024,4072424,zstd,3,512,616148,374800,1.6439,148,174
iterm,classes,89088,89026,88,1024,4072424,zstd,3,1024,616148,367787,1.6753,73,87
iterm,classes,89088,89026,88,1024,4072424,zstd,3,2048,616148,361118,1.7062,36,44
iterm,classes,89088,89026,88,1024,4072424,zstd,3,4096,616148,349612,1.7624,18,22
iterm,classes,89088,89026,88,1024,4072424,zstd,3,8192,616148,336354,1.8318,9,11
iterm,classes,89088,89026,88,1024,4072424,zstd,3,16384,616148,330623,1.8636,4,6
iterm,classes,89088,89026,88,1024,4072424,gzip,6,128,700278,409659,1.7094,598,696
iterm,classes,89088,89026,88,1024,4072424,gzip,6,16384,700278,326934,2.142,4,6
