table,policy,slots,allocated,sizeof,page_size,raw_bytes,codec,level,block,aos_bytes,soa_bytes,gain,homogeneous_blocks,blocks
sbox,classes,80640,80556,52,128,3222240,zstd,3,128,358225,100898,3.5504,630,630
sbox,classes,80640,80556,52,128,3222240,zstd,3,256,358225,77464,4.6244,315,315
sbox,classes,80640,80556,52,128,3222240,zstd,3,512,358225,70285,5.0967,158,158
sbox,classes,80640,80556,52,128,3222240,zstd,3,1024,358225,61926,5.7847,79,79
sbox,classes,80640,80556,52,128,3222240,zstd,3,2048,358225,55766,6.4237,40,40
sbox,classes,80640,80556,52,128,3222240,zstd,3,4096,358225,51002,7.0237,20,20
sbox,classes,80640,80556,52,128,3222240,zstd,3,8192,358225,47363,7.5634,10,10
sbox,classes,80640,80556,52,128,3222240,zstd,3,16384,358225,45092,7.9443,5,5
sbox,classes,80640,80556,52,128,3222240,gzip,6,128,640361,144633,4.4275,630,630
sbox,classes,80640,80556,52,128,3222240,gzip,6,16384,640361,54068,11.8436,5,5
box,classes,168960,168312,48,1024,6059232,zstd,3,128,421429,228444,1.8448,1315,1315
box,classes,168960,168312,48,1024,6059232,zstd,3,256,421429,203451,2.0714,658,658
box,classes,168960,168312,48,1024,6059232,zstd,3,512,421429,200734,2.0994,329,329
box,classes,168960,168312,48,1024,6059232,zstd,3,1024,421429,186636,2.258,165,165
box,classes,168960,168312,48,1024,6059232,zstd,3,2048,421429,174522,2.4148,83,83
box,classes,168960,168312,48,1024,6059232,zstd,3,4096,421429,166847,2.5258,42,42
box,classes,168960,168312,48,1024,6059232,zstd,3,8192,421429,159433,2.6433,21,21
box,classes,168960,168312,48,1024,6059232,zstd,3,16384,421429,156274,2.6967,11,11
box,classes,168960,168312,48,1024,6059232,gzip,6,128,504544,225899,2.2335,1315,1315
box,classes,168960,168312,48,1024,6059232,gzip,6,16384,504544,166843,3.0241,11,11
iterm,classes,939008,938965,88,1024,37558600,zstd,3,128,8217927,4328605,1.8985,7336,7336
iterm,classes,939008,938965,88,1024,37558600,zstd,3,256,8217927,4116654,1.9963,3668,3668
iterm,classes,939008,938965,88,1024,37558600,zstd,3,512,8217927,4051822,2.0282,1834,1834
iterm,classes,939008,938965,88,1024,37558600,zstd,3,1024,8217927,3928385,2.0919,917,917
iterm,classes,939008,938965,88,1024,37558600,zstd,3,2048,8217927,3818375,2.1522,459,459
iterm,classes,939008,938965,88,1024,37558600,zstd,3,4096,8217927,3747108,2.1931,230,230
iterm,classes,939008,938965,88,1024,37558600,zstd,3,8192,8217927,3628738,2.2647,115,115
iterm,classes,939008,938965,88,1024,37558600,zstd,3,16384,8217927,3585790,2.2918,58,58
iterm,classes,939008,938965,88,1024,37558600,gzip,6,128,7000368,4442589,1.5757,7336,7336
iterm,classes,939008,938965,88,1024,37558600,gzip,6,16384,7000368,3483610,2.0095,58,58
