table,policy,slots,allocated,sizeof,page_size,raw_bytes,codec,level,block,aos_bytes,soa_bytes,gain,homogeneous_blocks,blocks
sbox,classes,304896,304831,52,128,12193240,zstd,3,128,1088067,256626,4.2399,2382,2382
sbox,classes,304896,304831,52,128,12193240,zstd,3,256,1088067,168003,6.4765,1191,1191
sbox,classes,304896,304831,52,128,12193240,zstd,3,512,1088067,138307,7.867,596,596
sbox,classes,304896,304831,52,128,12193240,zstd,3,1024,1088067,102522,10.613,298,298
sbox,classes,304896,304831,52,128,12193240,zstd,3,2048,1088067,77673,14.0083,149,149
sbox,classes,304896,304831,52,128,12193240,zstd,3,4096,1088067,68166,15.962,75,75
sbox,classes,304896,304831,52,128,12193240,zstd,3,8192,1088067,55199,19.7117,38,38
sbox,classes,304896,304831,52,128,12193240,zstd,3,16384,1088067,48627,22.3758,19,19
sbox,classes,304896,304831,52,128,12193240,gzip,6,128,2208867,417258,5.2938,2382,2382
sbox,classes,304896,304831,52,128,12193240,gzip,6,16384,2208867,110825,19.9311,19,19
box,classes,116736,116718,48,1024,4201848,zstd,3,128,468136,147524,3.1733,912,912
box,classes,116736,116718,48,1024,4201848,zstd,3,256,468136,119634,3.9131,456,456
box,classes,116736,116718,48,1024,4201848,zstd,3,512,468136,110205,4.2479,228,228
box,classes,116736,116718,48,1024,4201848,zstd,3,1024,468136,97741,4.7896,114,114
box,classes,116736,116718,48,1024,4201848,zstd,3,2048,468136,89750,5.216,57,57
box,classes,116736,116718,48,1024,4201848,zstd,3,4096,468136,84315,5.5522,29,29
box,classes,116736,116718,48,1024,4201848,zstd,3,8192,468136,78335,5.9761,15,15
box,classes,116736,116718,48,1024,4201848,zstd,3,16384,468136,75777,6.1778,8,8
box,classes,116736,116718,48,1024,4201848,gzip,6,128,684554,134960,5.0723,912,912
box,classes,116736,116718,48,1024,4201848,gzip,6,16384,684554,88091,7.771,8,8
iterm,classes,577536,576596,88,1024,23063840,zstd,3,128,4961655,2164891,2.2919,4505,4505
iterm,classes,577536,576596,88,1024,23063840,zstd,3,256,4961655,2030312,2.4438,2253,2253
iterm,classes,577536,576596,88,1024,23063840,zstd,3,512,4961655,1974774,2.5125,1127,1127
iterm,classes,577536,576596,88,1024,23063840,zstd,3,1024,4961655,1907833,2.6007,564,564
iterm,classes,577536,576596,88,1024,23063840,zstd,3,2048,4961655,1848621,2.684,282,282
iterm,classes,577536,576596,88,1024,23063840,zstd,3,4096,4961655,1790730,2.7707,141,141
iterm,classes,577536,576596,88,1024,23063840,zstd,3,8192,4961655,1723988,2.878,71,71
iterm,classes,577536,576596,88,1024,23063840,zstd,3,16384,4961655,1688283,2.9389,36,36
iterm,classes,577536,576596,88,1024,23063840,gzip,6,128,4110555,2073816,1.9821,4505,4505
iterm,classes,577536,576596,88,1024,23063840,gzip,6,16384,4110555,1707575,2.4072,36,36
